norm_name,college_teams,club_teams,review
chris briggs,george washington (george washington men’s club ultimate); stonehill (stonehill college men's ultimate),beef depot (development)-dev,
chris brooks,suny-albany-b (scam),h.i.p,
chris carroll,harding (harding apocalypse),dreadnought: battleship-b,
chris chang,carnegie mellon (mr. yuk); carnegie mellon-b (harmful),pittsburgh stealers; pittsburgh temper,
chris cole,north carolina state (nc state alpha),carolina sky,
chris conklin,houston (skyline),rice box,
chris cooney,suny-albany (scam),blueprint; dirty laundry,
chris dellenbaugh,dad?,barnstorm; supercell,
chris dixon,florida (florida); villanova (main line ultimate),adelphos; citywide special; phantom; vicious cycle,
chris doan,colorado-b (cucu); university of colorado boulder-c (cucu2),bonafide scrubs; inception; iso atmo; red lotus,
chris doehring,michigan (magnum); southern california (usc lockdown),flash flood; mango tree-a,
chris easterday,dallas (vortex),san antonio warhawks,
chris ellis,colorado cutthroat: youth club u-20 boys,colorado cutthroat; colorado cutthroat (colorado cutthroat); colorado cutthroat: youth club u-20 boys; endgame; nain rouge; omen,
chris eppley,carleton college-chop (carleton house of pancakes); oak storm,green river swordfish,
chris fox,iso atmo,iso atmo,
chris godek,parkland - plu alumni,firemen,
chris guglielmo,stevens tech (stevens tech),turbulent flow,
chris johnson,davidson (duff); maryland-baltimore county-b (tembo); richmond (spidermonkeys),adventure time; crypt,
chris kaspar,cal poly-slo (slocore); cal poly-slo-b (slob),wavestorms,
chris maher,drexel (dragons),green means bro,
chris markiewicz,iowa (ihuc),tydl,
chris mascis,virginia tech (burn),ballston booya,
chris mateer,north carolina-b (batch),carolina sky,
chris padgett,texas-dallas (woof),forge,
chris padilla,carleton college (carleton college (cut)); carleton college-cut (cut),big wrench; buda; list; mallard; snip snip; switchback,
chris palermo,xavier (b.l.o.b.),gambit; queen city kings,
chris paturzo,new haven (chargers),spring break '93,
chris peart,georgia state (underground),alliance,
chris pleshek,texas christian (high noon),public menemy,
chris que,florida state (duf),bloom,
chris roach,puget sound (postmen),grudge; union; voodoo,
chris salazar,arizona (sunburn),arizona frisbee club; sonoran dog; sonoran pups,
chris sayad,clemson (joint chiefs of waft),space cowboys,
chris senf,drexel (spitfire),adelphos; ez,
chris small,british columbia (thunderbirds),blackfish,
chris strawn,georgetown (justice),beef depot; i-69; mort; on ramp,
chris susnosky,new jersey tech (highlanders),new jersey tech (highlanders),
chris walls,mississippi state (dark horse),memphis belle; southern hospitality; tanasi; trent's team,
chris walsh,notre dame (papal rage); suny-binghamton (suny-binghamton),blueprint; cash crop 2; eldl; exit 54; nain rouge; uproar,
chris warren,north georgia (nighthawks); north georgia (summit),music city mafia,
chris wilen,wisconsin (hodags),madison club; yogosbo,
chris yang,northeastern (huskies); northeastern-b (beastern),big wrench; iditarod,
chris young,rose-hulman (elephantitis); texas tech (tumbleweed),red hots - u20,
chris youngblood,alabama-huntsville (nightmares); alabama-huntsville-b (slice ),chain lightning,
chris zaleski,rowan (ruf riders),citywide special; garden state ultimate,
chris zhang,northeastern-b (beastern),mbta; skeleton squad,
christiaan sengers,purdue (undue ultimate),bdc; lafayette street dogs,
christian belus,charlotte flight; north carolina-wilmington (seamen),banc; ring of fire,
christian berger,utah state (usult),cache valley high ground; old ephraim; powderhogs; shrimp,
christian bonebrake,connecticut (uconn grind); connecticut (uconn huskies),big muscle boys,
christian boxley,georgetown (catholic justice),medicine men; paranoia; truck stop,
christian cavanagh,southern connecticut state (mighty hucks),spring break '93,
christian chang,california-irvine (nightlife),oc crows,
christian chapis,lehigh (lehigh ),lehigh (lehigh ),
christian cincotta,binghamton (suny-binghamton); suny-binghamton (suny-binghamton); suny-binghamton-b (suny-binghamton b),bartle boys,
christian colon,ohio state (leadbelly); ohio state-b (big buckin' chicken),enigma,
christian contreras,northwestern-b (bolt),ditto a; ditto b; rogue grimace; slimjim fc,
christian conway,michigan tech (discotech),timber,
christian dawson-jackson,campbell (camels),oakay,
christian digioia,ave maria (gyrenes); ave maria-b (ave maria b team),uproar,
christian geary,xavier (b.l.o.b.),i-69; on ramp,
christian go,california-santa barbara (black tide),oc crows,
christian gonzales,indiana-b (hoosierdaddy!s),bird patrol,
christian harper,pittsburgh-b (university of pittsburgh- b),pittsburgh stealers,
christian hernandez,north texas-b (unt beagles),casino ultimate,
christian holzl,missouri (missouri),haymaker x; kenji's bbb; red hots - u20; trident; trident i,
christian jensen,stevens tech-b (stevens tech); west virginia (wv wild); wisconsin-milwaukee (black cat); wisconsin-milwaukee-b (blackout),milwaukee revival,
christian kingett,virginia tech (burn),first order; munch box,
christian kunau,st olaf (berzerkers),overdrive,
christian lacoste,lsu (purple haze),rougaroux,
christian lauzy,texas tech (tumbleweed),cowtown cannons,
christian leach,virginia tech (burn),washington-liberty (washington-lee slarenegs),
christian lundy-hawkins,texas-san antonio (velox),alamode,
christian mariscal-dreby,syracuse (doom),adk mountain crew,
christian maynard,notre dame (papal rage),apollo,
christian menke,arizona state-b (pleasure ultimate); arizona state-c (pleasure ultimate),arizona society of underachievers; brawl,
christian mibach,portland (uprise),mavericks,
christian montufar,georgia state (underground),atlanta arson,
christian obuchowski,catholic (bad habit),rebels,
christian parker,abilene christian (acu ultimate); texas-dallas (woof),brawl; dallas united outlaws; ducs; glycerine; texas bbq,
christian reilly,suny-stony brook (panic),suny-stony brook (panic),
christian rozolis,northwestern (nut),greater gary goblins y; south shore line,
christian salazar,texas-b (graze),stuff,
christian sanchez,temple-b (false alarm),jawn,
christian scarfone,suny-fredonia (terrifying turtles),buffalo practice players,
christian speeney,mississippi state (dark horse),war machine,
christian strom,tennessee-chattanooga (swamp donkeys),nashville mudcats; nocturnal,
christian thomas,bowling green (penguins); kennesaw state (parliament),dyno; elysium,
christian tjahjadi-lopez,suny-buffalo (green eggs and ham); suny-buffalo-b (grinch),buffalo ultimate,
christian toppi,youngstown state (aperture ultimate ),lake effect,
christian villar,south florida (scallywags),el niño; swamp horse; tyranny; uproar,
christian welch,bates (bates orange whip); bates (orange whip),bates (orange whip); bates college (orange whip),
christian wilenski,suny-buffalo (green eggs and ham); suny-buffalo-b (grinch),buffalo ultimate,
christian wolff,south carolina-b (south carolina),impulse,
christian woodfin,carnegie mellon (mr. yuk),hazard; jam it in; oc crows,
christina kyprianou,hofstra (flying dutchmen),hofstra (flying dutchmen),
christoper duffy,rensselaer polytech (trudge b); rensselaer polytech (trudge),shades,
christopher anderson,iowa state (isuc); iowa state-b (iowa state-b (fast paste)),bemo,
christopher arevalo,ohio state (leadbelly),fine giant; garden state ultimate; helots; new jersey gemini,
christopher ault,texas a&m (dozen); texas a&m-b (dozen matter),gamble; texas duffy,
christopher baines,nebraska-omaha (uno),carbon; dawg pound; false summit; iso atmo; scythe,
christopher barnett,virginia tech-b (virginia tech b),bearfax,
christopher bauer,michigan-b (michigan-b),waste management squad,
christopher bernard,maryland (maryland ultimate),medicine men,
christopher bluth,oklahoma (apes of wrath); oklahoma-b (apes of wrath b); oklahoma-b (boons of ire),barnstorm,
christopher bond,nyu (new york university ),ballston booya; blueprint; haze; watchdogs,
christopher bright,florida-b (florida b),stag,
christopher brighton,suny-geneseo (snail),fat and mediocre,
christopher byrd,east carolina (irates); north carolina-wilmington-b (killabeez),oakay; right coast; triumph,
christopher calhoun,tennessee (agent orange),chain lightning,
christopher cassella,richmond (spidermonkeys); texas (tuff),colt; doublewide; joe sefton's little heroes; shockoe slip flatball club,
christopher chen,south carolina (gamecock ultimate); south carolina-b (south carolina); southern california-b (usc blockdown),cockfight; gambit; red dawn,
christopher clark,georgia southern (eagles); minnesota-b (ugly duckling),rush hour; the body,
christopher dawson,rochester (piggies),duel; space coast ultimate,
christopher empie,kentucky (kult),black lung,
christopher estes,virginia commonwealth (biscuit villains); virginia commonwealth (villains); virginia commonwealth university (biscuit villains),ballston booya; mob ultimate,
christopher fan,connecticut (uconn huskies),crossfire,
christopher fischer,cincinnati (bearcats),endgame; flying pig,
christopher fogel,baylor (stonewall a); texas-dallas (woof),dallas united: desperados; flash flood; nitro,
christopher granados-kramer,syracuse (doom),esf mighty oaks,
christopher hahn,virginia tech (burn),ballston booya; bryce whitney fan club,
christopher haley,harvard (red line),shred line,
christopher haslbeck,maryland-baltimore county (booya); maryland-baltimore county-b (tembo),mob ultimate,
christopher huie,washington state university (suspicious package y),sure,
christopher humphrey,north carolina (darkside),brickhouse; cash crop 2,
christopher huss,north dakota state (windbreak),the fargoats,
christopher iglesias,rutgers (machine),garden state ultimate; rugrat knights-a; rutger colege,
christopher jacobson,michigan (magnum),anchor; mango tree,
christopher kershner,wright state (airstrike),enigma,
christopher kiepert,vermont (chill),buda u20b; retired; sprout; tirebizfriz,
christopher kilbridge,syracuse (doom); syracuse university-b (boom),dap lab; dapper; rochester open club,
christopher kornblum,william & mary (merry men),bryce whitney fan club,
christopher larson,colorado (mamabird),inception,
christopher lay,carleton university (ravens),phoenix; shrike,
christopher layden,mit (grim beaver); texas (tuff); texas-b (texas b),big wrench; joe sefton's little heroes; riverside messengers-b; the killjoys,
christopher lee,northwestern (nut); suny-cortland (team rocket),blink; us bancorp tower,
christopher leon,suny-binghamton-b (suny-binghamton b),suny-binghamton-b (suny-binghamton b),
christopher leonard,oklahoma (apes of wrath); oklahoma-b (apes of wrath b),supercell,
christopher letai,charlottesville clownies; virginia (night train),richmond floodwall; vault,
christopher leung,johns hopkins (dangerzone),town hall stars,
christopher li,duke (brimstone),oakay,
christopher liang,california-b (ursa minor); control (high school),ursa,
christopher lofrese,triangle tourists boys-b,space cowboys,
christopher lopez,virginia tech (burn),ballston booya; bryce whitney fan club; hb woodlawn (hbw united); oakgrove boys,
christopher lung,california (california-berkeley); california-b (thugmo),gulls; the berkeley bobcats,
christopher ma,harvard (red line),shred line,
christopher mccormick,maryland-baltimore county (booya),watchdogs,
christopher mcglynn,syracuse (doom),garden state ultimate; mailmeñ; syracuse doom,
christopher mclaughlin,rutgers (machine),garden state ultimate; pride of rowan newark; rutger colege,
christopher milito,suny-binghamton-b (suny-binghamton b),suny-binghamton-b (suny-binghamton b),
christopher miller,rose-hulman (elephantitis),brickyard,
christopher nelson,north carolina state (nc state alpha); north carolina-wilmington (seamen),raleigh-durham united; right coast,
christopher ng,pittsburgh (en sabah nur); rutgers (machine),mailmeñ; pittsburgh puppies; pride of rowan newark; sord,
christopher nguyen,illinois (rise); illinois-b (boomland),black market iii; blacker market x,
christopher nowak,chicago (fission),roundhouse,
christopher obyrne,lehigh (lehigh ),path of totality,
christopher omara,carleton college (carleton house of pancakes); carleton college-chop (carleton house of pancakes),john doe,
christopher padgett,asbury (asbury ultimate),black lung,
christopher pagliaro,san diego state (federales ),offshore; skipjack,
christopher pantaleon,san jose state (spartans),oat,
christopher parinella,virginia tech (burn),dig; scoop,
christopher parma,saint louis (archangel),adventure time; black gold; firefly tx,
christopher patrick,central florida (dogs of war); central florida-b (havoc),bloom; reptar,
christopher pierce,northwestern (nut),the silent flatballers,
christopher posey,washington state (air raid),orcats,
christopher powers,lsu (lsu ultimate),black lung,
christopher read,illinois-b (boomland),nasty girls,
christopher richmond,charleston (palmetto bums),bag; big wrench; charleston heat stroke; ender's outcasts; holy city heathens; lost boys,
christopher roy,arkansas (ludicrous speed ),arkansas (ludicrous speed ),
christopher ruano,harvard (red line),harvard (red line),
christopher saacks,north carolina-charlotte (charlotte skyrise),banc; brickhouse; ring of fire,
christopher scalzi,georgia southern (eagles); maryland (maryland ultimate),savannah wild,
christopher selwood,richmond (spidermonkeys),medicine men; oak grove boys; oakgrove boys; slag dump,
christopher setiawan,massachusetts -b (umass amherst developmental); suny-stony brook (brick); suny-stony brook (panic),bag,
christopher shea,high point (high point university bagheera); hofstra (flying dutchmen),hofstra (flying dutchmen),
christopher sowards,arizona state (prime); arizona state-b (pleasure),colonels; drought; i-69; on ramp,
christopher tait,cal poly-pomona (cow ultimate),gridlock; oc crows,
